date,generation,consumption,temp_NW_UES,temp_SPB,pressure_SPB,humidity_SPB,wind_speed_SPB,cloudiness_SPB,USD_to_RUB,gas_avg_price,coal_close_price,oil_avg_price,frequency,day_of_week
2010-01-19,3317910.0,3264941.0,-22.06,-14.5875,781.7624999999999,68.125,2.125,6.875,29.5963,5.566000000000002,54.0,77.43,50.006249999999994,1
2010-01-20,3323684.0,3273423.0,-20.87,-17.137500000000003,783.25,76.125,1.25,14.375,29.5184,5.5440000000000005,53.07,76.91,50.00333333333333,2
2010-01-21,3319512.0,3273898.0,-21.31,-18.9375,786.9000000000001,79.375,1.375,37.5,29.6941,5.5665,52.5,75.32,50.00208333333333,3
2010-01-22,3322008.0,3282509.0,-20.93,-17.2625,689.3625,81.875,0.375,9.375,29.7486,5.742000000000001,51.95,73.62,50.004999999999995,4
2010-01-23,3216863.0,3172063.0,-20.55,-20.375,786.275,80.625,0.375,26.875,29.7458,5.8045,51.783333,73.43667,50.0025,5
2010-01-24,3171826.0,3134841.0,-20.98,-20.675,782.5375,81.75,1.0,95.0,29.862066666666667,5.7835,51.61667,73.253334,50.00333333333333,6
2010-01-25,3339525.0,3296958.0,-20.14,-16.625,779.875,85.0,1.0,100.0,29.97833333333333,5.7625,51.45,73.07,49.99875,0
2010-01-26,3366496.0,3322820.0,-21.33,-18.19375,782.8875,77.5,1.375,49.0625,30.0946,5.581,51.510002,73.49,50.00583333333333,1
2010-01-27,3375181.0,3324067.0,-21.79,-19.937499999999996,772.6875000000001,70.75,1.5,61.875,30.3136,5.354,51.57,72.72,50.0025,2
2010-01-28,3356695.0,3306821.0,-20.54,-19.65,756.75,75.0,2.75,46.875,30.2921,5.1675,52.37,72.24,50.00541666666666,3
2010-01-29,3316509.0,3269163.0,-18.37,-12.7125,746.5375,76.5,2.25,100.0,30.3631,5.189500000000002,53.17,71.83,50.00416666666667,4
2010-01-30,3175969.0,3125643.0,-16.24,-7.475,748.3500000000001,78.4375,2.875,100.0,30.4312,5.127000000000002,53.219997,72.58,50.000416666666666,5
2010-01-31,3107097.0,3063136.0,-15.37,-5.2875000000000005,751.9749999999999,75.75,3.375,98.75,30.420666666666666,5.2325,53.269997,73.33,50.00375,6
2010-02-01,2899441.0,2853416.0,-16.14,-15.2,759.7000000000002,84.375,0.75,96.875,30.410133333333334,5.337999999999999,53.32,74.08,49.998333333333335,0
2010-02-02,3248272.0,3199252.0,-14.6,-1.9375,752.7624999999999,76.125,2.75,100.0,30.3996,5.4585,53.37,74.83,50.00541666666666,1
2010-02-03,3062339.0,3023218.0,-7.51,0.7375,743.4874999999998,92.125,2.125,100.0,29.93,5.459,54.48,77.62,49.9975,2
2010-02-04,2736348.0,2702505.0,3.33,9.612499999999999,763.4,69.25,1.875,90.0,29.4394,5.3645,55.15,76.09334,50.002916666666664,3
2010-02-05,2325775.0,2293929.0,12.63,9.1,755.225,72.375,3.125,73.125,30.2548,5.4905,57.025,74.566666,50.0025,4
2010-02-06,2350942.0,2314737.0,17.51,12.250000000000002,759.8625000000001,85.0,1.625,99.375,31.0702,5.5299999999999985,58.9,73.04,50.000416666666666,5
2010-02-07,2348398.0,2310480.0,19.5,18.575,760.4625000000001,75.0,2.0,70.0,31.3703,5.533999999999999,62.43,71.7,50.0,6
2010-02-08,2411571.0,2374324.0,24.1,22.962500000000002,761.8374999999999,71.0,1.875,73.75,31.0852,5.537999999999999,68.95,79.46,50.00416666666666,0
2010-02-09,2461992.0,2417458.0,15.69,10.349999999999998,755.4124999999999,84.0,1.625,99.375,30.8001,5.364,61.65,76.56,50.00791666666666,1
2010-02-10,2563632.0,2511476.0,6.4,8.25,770.6125000000001,78.75,0.625,86.875,30.5094,5.3100000000000005,64.21,80.78999,50.00416666666666,2
2010-02-11,2882553.0,2844324.0,3.11,6.199999999999999,758.35,94.875,1.125,100.0,30.7738,5.351,66.77,85.02,50.005,3
2010-02-12,3303793.0,3261393.0,-17.65,-9.8875,769.25,88.25,1.875,96.875,31.4555,5.391,72.73,89.75,50.00749999999999,4
2010-02-13,3148716.0,3092892.0,-15.71,-7.9375,767.15,73.625,1.25,92.5,30.1595,5.4605,66.8925,84.10667,50.00208333333333,5
2010-02-14,3067066.0,3016820.0,-12.66,-8.700000000000001,762.3375,81.25,1.0,73.125,30.1799,5.458,61.055,78.46333,50.000416666666666,6
2010-02-15,3207778.0,3152238.0,-10.67,-12.6625,759.0,85.0,0.875,96.875,30.200300000000002,5.4555,55.217503,72.82,49.99875,0
2010-02-16,3186700.0,3137956.0,-9.64,-9.325,758.5625,87.75,1.5,100.0,30.2207,5.432499999999999,49.38,74.15,50.004999999999995,1
2010-02-17,3179410.0,3129023.0,-10.0,-12.1125,762.5249999999999,79.0,1.0,76.25,30.1176,5.3439999999999985,49.75,76.01,50.001666666666665,2
2010-02-18,3189586.0,3145584.0,-13.06,-15.375,759.6875,78.75,1.0,84.375,29.9761,5.278499999999998,49.88,76.82,50.00708333333333,3
2010-02-19,3178347.0,3132487.0,-14.07,-18.08125,758.6624999999999,80.0,1.375,67.1875,30.1138,5.0939999999999985,50.83,77.59,50.004999999999995,4
2010-02-20,3065118.0,3022466.0,-13.13,-22.625,759.5500000000002,56.5,2.5,71.25,30.151,5.041,51.24667,77.899994,50.001666666666665,5
2010-02-21,3022178.0,2984522.0,-14.78,-17.7875,753.3999999999999,72.5,2.0,100.0,30.12698,4.959,51.663334,78.21,50.001666666666665,6
2010-02-22,3041591.0,3003234.0,-15.37,-12.1125,751.375,76.875,1.375,100.0,30.10296,4.9065,52.08,78.52,50.00125,0
2010-02-23,2999601.0,2951147.0,-14.05,-7.2625,750.4875,85.0,2.125,98.75,30.07894,4.83,52.12,77.82,50.00375,1
2010-02-24,3143830.0,3099468.0,-12.93,-6.21875,656.825,78.0,3.8125,71.875,30.05492,4.8195,53.2,77.72,50.00416666666666,2
2010-02-25,3138680.0,3094884.0,-13.03,-6.6125,760.9125,76.5,1.375,91.875,30.0309,4.799,53.53,77.02,50.00375,3
2010-02-26,3121024.0,3081230.0,-13.68,-3.5125,757.8625000000002,77.875,2.0,98.75,30.0521,4.7959999999999985,54.4,77.02,50.002916666666664,4
2010-02-27,3062066.0,3022774.0,-10.77,1.4625,754.4000000000001,91.375,1.5,100.0,30.0388,4.78525,54.107502,76.729996,50.0,5
2010-02-28,2934731.0,2891532.0,-9.56,1.5625,753.7624999999999,88.625,2.375,100.0,29.9484,4.7745,53.815002,76.44,50.00208333333333,6
2010-03-01,2953051.0,2905369.0,-17.69,-16.3375,759.2375,80.0,1.25,91.875,30.0657,4.7645,53.5225,76.15,50.00208333333333,0
2010-03-02,3254298.0,3202701.0,-15.38,-3.75,760.3625000000001,85.375,1.75,81.25,30.183000000000003,4.705,53.23,75.86,50.00416666666666,1
2010-03-03,3054242.0,3010092.0,-7.94,-2.3,747.925,82.5,3.5,96.875,29.9779,4.7349999999999985,53.13,78.76,50.00416666666666,2
2010-03-04,2637433.0,2600819.0,3.97,10.762500000000001,763.5625000000001,57.625,1.625,98.75,29.2194,4.6705000000000005,58.190002,83.475006,49.99791666666667,3
2010-03-05,2367235.0,2331322.0,13.8,6.6625,762.7499999999999,59.25,2.25,41.875,30.204700000000003,4.583,63.25,88.19,50.005833333333335,4
2010-03-06,2357206.0,2320041.0,18.81,13.2625,759.9625,84.0,1.25,71.875,31.19,4.553,59.33,74.96,50.011666666666656,5
2010-03-07,2262395.0,2214322.0,20.62,17.900000000000002,764.9250000000001,70.375,1.75,21.875,31.1942,4.523,64.09,78.415,50.00125,6
2010-03-08,2438215.0,2394212.0,23.79,23.999999999999996,760.0249999999999,64.875,1.5,81.875,30.1861,4.519,68.85,81.87,50.00416666666666,0
2010-03-09,2461967.0,2417124.0,14.61,10.575000000000001,747.1750000000001,91.75,1.5,100.0,30.6858,4.5395,61.78,76.69,50.00083333333333,1
2010-03-10,2553812.0,2498984.0,5.63,8.962499999999999,774.5625,61.0,0.875,95.625,30.73995,4.5225,64.149994,81.41,50.00416666666666,2
2010-03-11,2875341.0,2831153.0,4.11,7.4750000000000005,753.2625,90.875,2.875,100.0,30.7941,4.502,66.52,86.13,50.00416666666666,3
2010-03-12,3305692.0,3256238.0,-15.05,-12.562499999999998,764.2875,81.25,2.25,100.0,31.3518,4.423,74.6,90.94,50.00208333333333,4
2010-03-13,2901798.0,2850088.0,-4.69,-8.6,749.6999999999999,80.5,0.875,52.5,29.3897,4.3934999999999995,67.659996,86.79,50.00125,5
2010-03-14,2839890.0,2795332.0,-5.46,-4.8500000000000005,745.2875,87.0,1.125,86.875,29.371566666666666,4.364,60.719997,82.64,50.00458333333333,6
2010-03-15,2990168.0,2942526.0,-5.55,-7.574999999999999,748.2,85.125,1.375,93.75,29.353433333333335,4.3904999999999985,53.78,78.49,50.00333333333333,0
2010-03-16,3003350.0,2944252.0,-6.71,-11.725000000000001,754.7625,78.0,1.375,54.375,29.3353,4.373,54.3,78.31,50.00124999999999,1
2010-03-17,3016276.0,2951725.0,-7.32,-12.5625,759.3124999999999,72.75,1.5,26.25,29.4242,4.3135,54.49,80.0,49.999583333333334,2
2010-03-18,3017478.0,2956956.0,-8.05,-6.25,761.3750000000001,80.75,1.0,66.25,29.1927,4.189500000000002,54.53,81.69,50.002916666666664,3
2010-03-19,3000291.0,2946463.0,-7.25,-1.2124999999999997,754.1249999999999,85.375,2.0,100.0,29.2223,4.1125,54.67,80.65,50.002916666666664,4
2010-03-20,2869797.0,2812511.0,-5.46,1.475,748.6,91.625,2.75,100.0,29.2565,4.120749999999999,55.696667,80.456665,50.00125,5
2010-03-21,2812727.0,2758455.0,-3.67,1.3750000000000002,748.8999999999999,91.0,1.75,100.0,29.283966666666664,4.129,56.72333,80.263336,50.001666666666665,6
2010-03-22,2935548.0,2886997.0,-3.14,-1.4625,752.075,82.5,2.875,65.0,29.311433333333333,4.1025,57.75,80.07,50.00333333333333,0
2010-03-23,2919124.0,2878736.0,-2.62,-2.5875000000000004,757.9875,76.125,2.625,8.75,29.3389,4.1240000000000006,57.65,80.72,50.002916666666664,1
2010-03-24,2900014.0,2866167.0,-3.38,-5.6,760.2375000000001,79.375,1.5,30.625,29.4707,4.0915,56.81,80.0,50.002916666666664,2
2010-03-25,2876729.0,2843754.0,-2.05,-3.35,769.0375,72.75,0.875,23.75,29.5764,4.023,56.58,79.52,49.999583333333334,3
2010-03-26,2867902.0,2830523.0,-3.4,3.175,764.375,55.0,1.875,91.875,29.6572,3.9265,55.2,79.32,50.002500000000005,4
2010-03-27,2767801.0,2726504.0,0.33,4.325,753.675,93.875,1.0,100.0,29.5142,3.8945,55.313335,79.653336,50.006249999999994,5
2010-03-28,2701546.0,2658917.0,-0.29,5.5,749.1999999999999,79.125,3.125,77.5,29.5531,3.8625,55.426666,79.986664,50.00260869565217,6
2010-03-29,2829617.0,2787845.0,0.18,4.2,659.3625,84.25,2.625,86.25,29.592,3.885,55.54,80.32,50.00458333333333,0
2010-03-30,2802511.0,2769105.0,2.0,4.8,756.15,77.75,1.5,77.5,29.6309,3.9315,55.39,81.3,49.997083333333336,1
2010-03-31,2769234.0,2748403.0,2.94,5.5625,761.925,78.125,1.25,59.375,29.3638,3.966,55.16,81.92,50.000416666666666,2
2010-04-01,3040402.0,2990176.0,-18.33,-8.7,753.2375,79.375,2.125,99.375,29.62085,3.9895,53.895,79.3,50.0025,3
2010-04-02,3263227.0,3215770.0,-16.49,-3.1875000000000004,770.3625000000001,83.125,2.25,96.25,29.8779,4.023166666666667,52.63,74.02,50.00416666666667,4
2010-04-03,3037209.0,2996331.0,-8.74,-4.362500000000001,751.7249999999999,84.125,1.625,98.125,29.814,4.0568333333333335,52.25,78.93,50.007083333333334,5
2010-04-04,2531771.0,2503124.0,4.26,8.85,765.3875,72.75,1.75,92.5,30.173933333333334,4.0905000000000005,58.235,83.075,50.00208333333333,6
2010-04-05,2465826.0,2436703.0,13.46,5.6375,758.375,80.5,1.75,96.875,30.533866666666665,4.159,64.22,87.22,50.001250000000006,0
2010-04-06,2365560.0,2330917.0,19.19,15.362499999999997,755.2750000000001,70.0,2.5,46.875,30.8938,4.199999999999998,59.87,73.67,50.009166666666665,1
